COMPOUND,SMILES,CIP Labels,Blue Book Ref,Stereogenic Units,Sequence Rules,Figure,Different from CIP Labels,Rdkit + Canonize.py,balloon + Canonize.py,
VS129,C[C@@H]1C[C@H]2C[C@@H](C)[N@@]1[C@H](C)C2,2R 6R 9R,,TH,1a,,1,2R 6R 9R,,0
VS130,O=[S@@](=S)(C=1C=CC=CC1)OC,2S,P-93.2.5,TH,1a,,0,,,1
VS131,C1[C@@]2(CC[C@@]13OCCC3)CCCO2,2S 5R,P-93.5.3.1,TH,1a,,1,2S 5R,2S 5R,1
VS132,CC=1C=CC=2[N@@]3CC=4C=C(C=CC4[N@](CC2C1)C3)C,6S 14S,P-93.5.4.1,TH,1a,,1,6S 14S,,0
VS133,C#CCOC[C@H]1OC1,6S,,TH,1a,,0,6R,6R,1
VS134,O[C@@H]1C=CC2=CC3=CC4=C5C6=C(C=CC7=C6C8=C(C=C7)C=C9CC%10=CC=CC%11=C%10C%12=C9C8=C5C3=C%12C2=C1%11)C=C4,2R,,TH,1a,,0,2R 3Z 4Z,2R 3Z 4Z,1
VS135,C/C=C=C=C\C,2Z 5Z,P-93.4.2.3,CT4,1a,,0,2E 3E 4E 5E,2E 3E 4E 5E,1
VS136,O=C(O[C@@H](C)CC)CC[C@@H](CC)Cl,4S 10R,P-91.3,TH,1a,,1,4S 10R,4S 10R,1
VS137,C/C=C(/C)\C(=O)O,2Z 3Z,P-93.4.2.1.1,CT,1a,,1,2Z 3Z,2Z 3Z,1
VS138,C[P@@](C=1C=CC=CC1)CCC,2R,P-93.3.4.1,TH,1a,,0,2S,,0
VS139,CC[C@@H](C)Br,3R,P-93.1.3,TH,1a,,1,3R,3R,1
VS140,C1/C=C/CCCCC1,2E 3E,P-93.5.1.4.1,CT,1a,,0,2Z 3Z,2E 3E,0
VS141,C/C=C\C=C=[C@@]=C=CO,2Z 3Z 4P 8P,P-93.4.2,"TH5,CT",1a,,0,2Z 3Z 4E 5E 7E 8E,2Z 3Z 4E 5E 7E 8E,1
VS142,O[C@@H](C1CC1)C=O,2S,P-92.2.1.3,TH,1a,,1,2S,2S,1
VS143,Cl[C@]12CCCC[C@@]1(CC[C@@H](C2)F)O,2S 7S 10S,,TH,1a,,1,2S 7S 10S,2S 7S 10S,1
VS144,NC(=[C@]=C(C)O)Br,2P 4P,,TH3,1a,,0,2E 3E 4E,2E 3E 4E,1
VS145,C=C[C@@H](CC)O,3R,"P-91.3, P-92.2.1.2",TH,1a,,0,3S,3S,1
VS146,CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(O)=O)O)O,6Z 7Z 9R 10E 11E 12E 13E 14Z 15Z 16S,P-93.4.2.4,"CT,TH",1a,,0,6Z 7Z 9S 10E 11E 12E 13E 14Z 15Z 16R,6Z 7Z 9S 10E 11E 12E 13E 14Z 15Z 16R,1
VS147,O=[S@](CC)C,2S,P-93.3.4.1,TH,1a,,0,,,1
VS148,O=C(\C=C\C(=O)O)O,3E 4E,P-93.4.2.1.1,CT,1a,,1,3E 4E,3E 4E,1
VS149,C[C@H](CO)Cl,2R,P-92.2.1.1.2,TH,1a,,1,2R,2R,1
VS150,C[C@]12CCCC[C@@H]1CCOC2,2S 7R,,TH,1a,,1,2S 7R,2S 7R,1
VS151,C=C[C@H](C#N)O,3R,P-92.2.1.2,TH,1a,,1,3R,3R,1
VS152,O[C@@]12C[C@]3(C[C@@](C1)(C[C@H](C3)C2)Br)N,2S 4R 6R 9R,P-93.5.2.1,TH,1a,,1,2S 4R 6R 9R,2S 4R 6R 9R,1
VS153,C/C=C\C=C\C(=O)O,2Z 3Z 4E 5E,P-93.4.2.1.2,CT,1a,,1,2Z 3Z 4E 5E,2Z 3Z 4E 5E,1
VS154,C/C=C=C=C/C=C/C,2E 5E 6E 7E,P-93.4.2.3,"CT,CT4",1a,,0,2E 3E 4E 5E 6E 7E,2E 3E 4E 5E 6E 7E,1
VS155,O=C(C1=C/2C=CC(=C1)/C=C\C=3C(=CC(/C=C2)=CC3)Br)O,9Z 10Z 15Z 16Z,P-93.5.5.1,CT,1a,,0,9E 10E 15E 16E,9Z 10Z 15Z 16Z,0
VS156,C[C@H](OC)SC,2R,P-92.2.1.1.1,TH,1a,,1,2R,2R,1
VS157,C[C@@](C=1C=CC(\C=C\O/C=C/C=2C=CC(=CC2)[C@H](C)C(=O)O)=CC1)(C(=O)O)Br,2R 7E 8E 10E 11E 18S,P-93.6,"CT,TH",1a,,0,2R 7E 8E 10E 11E 18S ,2R 7E 8E 10E 11E 18S ,1
VS158,OC=1C(=C(C=C(C1)C)C)C2=C3C=CC=CC3=CC=C2CO,3P 10P,P-93.5.7.1,AT,1a,,0,,,1
VS159,C[C@@H]1[C@@H]2C[C@]([C@H]1C=C2)(C)Br,2R 3R 5S 6S,P-93.5.2.2.1,TH,1a,,0,2R 3R 5S 6S 7Z 8Z,2R 3R 5S 6S 7Z 8Z,1
VS160,O=C(OC[C@H]1C[C@@H]2C[C@H]1C=C2)CCl,5S 7S 9S,,TH,1a,,0,5S 7S 9R 10Z 11Z,5S 7S 9R 10Z 11Z,1
VS161,C/C=C\CC[C@H](C)Cl,2Z 3Z 6S,P-91.3,"CT,TH",1a,,1,2Z 3Z 6S,2Z 3Z 6S,1
VS162,Cl[C@H](Br)F,2R,"P-91.3, P-92.2.1.1.1",TH,1a,,1,2R,2R,1
VS163,C[C@@H]([C@H](CO)Cl)Cl,2S 3S,P-92.2.1.1.2,TH,1a,,1,2S 3S,2S 3S,1
VS164,C/1CCCCCCCCCCCCCCCCCCC[C@@H]2CC1=C=C=C/CCCCCCCCCCCCCCCCCCCCC2,21R 23Z 26Z,P-93.5.2.3,"CT4,TH",1a,,0,21R 23E 24E 25E 26E,21R 23E 24E 25E 26E,1
VS165,[Na+].[O-][P@](=S)(OC=1C=CC=CC1)OC,3R,P-93.2.4,TH,1a,,0,,,1
VS166,ClC=C=[C@@]=C=CC(=O)O,2P 6P,,TH5,1a,,0,2E 3E 5E 6E,2E 3E 5E 6E,1
VS167,OC[C@@H](CCl)Cl,3S,P-92.2.1.1.2,TH,1a,,1,3S,3S,1
VS168,O[C@@H]([C@H](CC)C)C,2R 3S,,TH,1a,,1,2R 3S,2R 3S,1
VS169,O[C@@H]([C@@H](CC)C)C,2R 3R,,TH,1a,,1,2R 3R,2R 3R,1
VS170,[C@H](O)(SI)S#I,1S,,TH,1a,,1,1S,1S,1
VS171,O[C@@H](C(CCC1CC1)(CCC2CC2)CCC3CC3)C45CCC(CC4)CC5,2S,P-92.2.2,TH,1b,,1,2S,2S,1
VS172,C1[C@H]2CC=C[C@@H]12,2R 6S,P-92.2.2,TH,"1a,1b",Figure 2,0,2R 4Z 5Z 6S,2R 4Z 5Z 6S,1
VS173,O[C@@H](C(/C=C\C1C=C1)(/C=C\C2C=C2)/C=C\C3C=C3)[C@@]45C=C[C@@H](C=C4)C=C5,2S 4Z 5Z 9Z 10Z 14Z 15Z,,"CT,TH","1a,1b", ,0,2S 4Z 5Z 7Z 8Z 9Z 10Z 12Z 13Z 14Z 15Z 17Z 18Z 20Z 21Z 23Z 24Z 25Z 26Z,2S 4Z 5Z 7Z 8Z 9Z 10Z 12Z 13Z 14Z 15Z 17Z 18Z 20Z 21Z 23Z 24Z 25Z 26Z,1
VS174,C1CCC=C[C@H]2[C@H]1CCC2,6R 7R,,TH,"1a,1b",,0,4Z 5Z 6R 7R,4Z 5Z 6R 7R,1
VS175,C[C@](CC)(CO)[13CH2]C,2R,,TH,2,,0,,,1
VS176,O/C(/[16OH])=C(\[18OH])/O,2Z 4Z,,CT,2,,0,,,1
VS177,[18O-][P@@](=O)(OC)[17O-],2S,P-93.2.4,TH,2,,0,,,1
VS178,C[C@]([13CH2]C)([15CH2]C)[14CH2]CC,2S,,TH,2,,0,,,1
VS179,O[C@@H](C[125I])CI,2S,P-92.3,TH,2,,0,,,1
VS180,[3H][C@H](Br)Cl,2S,,TH,2,,0,,,1
VS181,[2H][C@@H](Br)Cl,2R,,TH,2,,0,,,1
VS182,C[C@H](O)[2H],2R,"P-92.3, P-93.4.1.1",TH,2,,0,,,1
VS183,[18O]=[S@](=O)(CC=1C=CC=CC1)C=2C=CC(=CC2)C,2R,P-93.2.5,TH,2,,0,,,1
VS184,C\C=C\[2H],2E 3E,P-93.4.2.1.1,CT,2,,0,,,1
VS185,[2H]/C=C/[1H],2Z 3Z,,CT,2,,0,,,1
VS186,[17O]=[S@](=[18O])([O-])OC=1C=CC=CC1.CCCC[N+](CCCC)(CCCC)CCCC,2S,P-93.2.5,TH,2,,0,,,1
VS187,C[C@@H](C=1C=CC=CC1)[2H],2S,P-93.4.1.1,TH,2,,0,,,1
VS188,C\C=C/1\C/C(/C1)=C\C,2E 3E 5E 7E,P-92.4.2,CT,3,,0,,,1
VS189,C/C=C/1\CC/C(/CC1)=C\C,2Z 3Z 6Z 9Z,P-93.5.1.4.2.1,CT,3,,0,,,1
VS190,C/C=C/1\C/C(/C1)=C/2\C\C(\C2)=C\C,2E 3E 5E 7E 9E 11E,P-93.5.1.4.2.1,CT,3,,0,,,1
VS191,C/C=C\C/C(=C\[C@H](C=C(C/C=C\C)C/C=C\C)O)/C/C=C/C,2Z 3Z 5Z 6Z 7S 11Z 12Z 15Z 16Z 20E 21E,P-92.4.2.2,"CT,TH","1a,3",,0,2Z 3Z 5Z 6Z 7r 11Z 12Z 15Z 16Z 20E 21E,2Z 3Z 5Z 6Z 7r 11Z 12Z 15Z 16Z 20E 21E,1
VS192,C/C=C(/CCC[C@@H](CCC/C(=C\C)/Cl)O)\Cl,2Z 3Z 7R 11E 12E,,"CT,TH","1a,3",,1,2Z 3Z 7R 11E 12E,2Z 3Z 7R 11E 12E,1
VS193,C/C=C(/CCC[C@H](CCC/C(=C\C)/Cl)O)\Cl,2Z 3Z 7S 11E 12E,P-92.4.2,"CT,TH","1a,3",,1,2Z 3Z 7S 11E 12E,2Z 3Z 7S 11E 12E,1
VS194,C/C=C\CCC[C@@H](CCC/C=C/C)O,2Z 3Z 7R 11E 12E,P-92.4.2,"CT,TH","1a,3",,0,2Z 3Z 11E 12E,2Z 3Z 11E 12E,1
VS195,C/C=C\C[C@@H](C/C=C/C)O,2Z 3Z 5R 7E 8E,P-93.4.2.4,"CT,TH","1a,3",,0,2Z 3Z 7E 8E,2Z 3Z 7E 8E,1
VS196,Cl[C@H]1[C@H]([C@H]([C@@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2R 3S 4S 5R 6S 7R,P-93.5.1.1.2,TH,4b,,0,,,1
VS197,Cl[C@H]1[C@@H]([C@H]([C@@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2R 3R 4R 5R 6S 7S,P-92.5.2.2,TH,4b,,0,,,1
VS198,C[C@@H]([C@H](C([C@@H](C([C@@H]([C@@H](C)Cl)C)([C@H](C)[C@@H](C)Cl)[C@@H](C)[C@@H](C)Cl)O)([C@H](C)[C@H](C)Cl)[C@@H](C)[C@@H](C)Cl)C)Cl,2S 3S 5R 7S 8R 12S 14R 17R 19R 23S 25S 28R 30R,P-92.5.2.2,TH,"1a,4b",,0,2S 3S 7S 8S 12S 14S 17S 19S 23S 25S 28S 30S,2S 3S 5s 7S 8R 12S 14R 17R 19R 23S 25S 28R 30R,0
VS199,O=C([C@H]([C@H]([C@@H]([C@@H]([C@H](C(O)=O)Cl)Cl)Cl)Cl)Cl)O,3R 4R 5R 6R 7S,P-92.5.2.2,TH,"1a,4b",,1,3R 4R 5r 6R 7S,3R 4R 5r 6R 7S,1
VS200,Cl[C@H](C(O)=O)[C@@H]([C@@H]([C@@H]([C@@H](C(O)=O)Cl)Cl)Cl)Cl,2R 6S 7S 8R 9R,,TH,"1a,4b",,1,2R 6S 7S 8R 9R,2R 6S 7S 8R 9R,1
VS201,O=C([C@H]([C@H]([C@@H]([C@H]([C@@H](C(O)=O)Cl)Cl)Cl)Cl)Cl)O,3R 4R 5R 6S 7R,"P-92.5.2.2, P-93.4.1.2",TH,"1a,4b",,1,3R 4R 5R 6S 7R,3R 4R 5R 6S 7R,1
VS202,O=C([C@@H](N([C@@H](C)O)[C@@H](C)O)N([C@@H](C)O)[C@H](C)O)O,3R 5R 8R 12R 15S,P-92.5.2.2,TH,"1a,4b",,0,3r 5R 8R 11r 12R 15S ,3R 4R 5R 8R 11S 12R 15S,0
VS203,C[C@H]([C@H](ON([C@@H](N(C[C@@H]([C@H](C)O)O)O[C@H]([C@H](C)O)O)Cl)C[C@H]([C@H](C)O)O)O)O,2R 3S 6R 9S 10S 15R 16S 22R 23S,P-92.5.2.2,TH,"1a,4b",,0,2R 3S 5R 6R 7S 9S 10S 15R 16S 22R 23S,2R 3S 5R 6R 7S 9S 10S 15R 16S 22R 23S,1
VS204,C[C@@H]([C@@H](ON([C@@H](N(O[C@@H]([C@@H](C)O)O)C[C@H]([C@H](C)O)O)Cl)C[C@@H]([C@H](C)O)O)O)O,2S 3R 6S 9S 10R 15R 16S 22S 23S,,TH,"1a,4b",,0,2S 3R 5S 6r 7S 9S 10R 15R 16S 22S 23S,2S 3R 5R 6R 7S 9S 10R 15R 16S 22S 23S,0
VS205,C[C@H]1CC[C@H](CC1)[C@@H]2CC[C@H](CC2)[C@@H]3CC[C@@H](CC3)C,2s 5s 8r 11r 14s 17s,P-93.5.7.2,TH,5,,0,,,1
VS206,C[C@@H]1CC[C@@H](CC1)[C@@H]2CC[C@@H](CC2)C,2s 5s 8s 11s,P-93.5.7.2,TH,5,,0,,,1
VS207,C[C@H]1CC[C@@H]([C@@]2([C@@H]3CC[C@@H](C)CC3)CC[C@@H](C)CC2)CC1,2s 5s 6r 7r 10r 16r,,TH,5,,0,,,1
VS208,OC=1C2=CC(=C(C1)O)[C@H](C=3C(=CC(=C([C@H](C=4C=C([C@H](C=5C=C([C@H]2CCCCCCCCC)C(=CC5O)O)CCCCCCCCC)C(=CC4O)O)CCCCCCCCC)C3)O)O)CCCCCCCCC,9r 15r 19r 23r,P-93.5.5.2,TH,5,,0,,,1
VS209,Cl[C@@H]1[C@H]([C@@H]([C@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2r 3r 4r 5r 6r 7r,P-93.5.1.1.2,TH,5,,0,,,1
VS210,Cl[C@H]1[C@H]([C@H]([C@H]([C@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2s 3s 4s 5s 6s 7s,P-93.5.1.1.2,TH,5,,0,,,1
VS211,C1[C@@H]2CCCC[C@@H]2CCC1,2s 7s,P-93.5.4.1,TH,5,,0,,,1
VS212,C1[C@@H]2CCCC[C@H]2CCC1,2r 7r,P-93.5.4.1,TH,5,,0,,,1
VS213,O[C@H]1CC[C@@](CC1)(Cl)C,2r 5r,P-93.5.1.1.2,TH,5,,0,,,1
VS214,CC[C@@H]1CC/C(/CC1)=C\2/CC[C@H](CC2)CC,3s 6E 9E 12s,P-93.5.1.4.2.2,"CT,TH",5,,0,,,1
VS215,C1=C2[C@@H]3C(C=NC4=CC=CC(=N1)[C@@H]43)=CC=C2,3s 13s,,TH,5,Figure 6,0,1Z 2Z 3S 4E 5Z 6Z 7E 8E 11Z 12Z 13R 14E 15Z 16Z,1Z 2Z 3S 4E 5Z 6Z 7E 8E 11Z 12Z 13R 14E 15Z 16Z,1
VS216,C1=C2[C@H]3C(C=NC4=CC=CC(=N1)[C@H]43)=CC=C2,3s 13s,,TH,5,Figure 6,0,1Z 2Z 3R 4E 5Z 6Z 7E 8E 11Z 12Z 13S 14E 15Z 16Z,1Z 2Z 3R 4E 5Z 6Z 7E 8E 11Z 12Z 13S 14E 15Z 16Z,1
VS217,C1=C2[C@H]3C(C=CC4=CC=CC(=C1)[C@H]43)=CC=C2,3s 13s,,TH,5,Figure 6,0,1Z 2Z 4Z 7Z 8Z 11Z 12Z 14Z,1Z 2Z 4Z 5Z 6Z 7Z 8Z 11Z 12Z 14Z,0
VS218,C1=CC2=CC=C3C=CC4=CC=C5C=CC6=CC=C1[C@H]1C2=C3[C@@H]4C5=C61,19s 22s,,TH,5,,0,1Z 2Z 7Z 8Z 9Z 10Z 11Z 12Z 15Z 16Z 17Z 18Z 19S 22R,1Z 2Z 7Z 8Z 9Z 10Z 11Z 12Z 15Z 16Z 17Z 18Z 19S 22R,1
VS219,O[C@H]1C[C@@H](C1)O,2r 4r,P-92.6,TH,5,,0,,,1
VS220,Br[C@@]1(CC[C@H]([C@@H]2CC[C@H](CC2)CCCC)CC1)C3=CC=C(C=C3)CC,2s 5s 6s 9r,P-93.5.7.2,TH,5,,0,,,1
VS221,O[C@@H]1CC[C@H](CC1)O,2r 5r,P-93.5.1.1.2,TH,5,,0,,,1
VS222,O[C@H]1CC[C@H](CC1)O,2s 5s,P-93.5.1.1.2,TH,5,,0,,,1
VS223,OC=1C2=CC(=C(C1)O)[C@H](C=3C(=CC(=C([C@H](C=4C=C([C@H](C=5C=C([C@H]2C)C(=CC5O)O)C)C(=CC4O)O)C)C3)O)O)C,9r 15r 19r 23r,,TH,5,,0,,,1
VS224,N#CC(C(C#N)(C#N)[C@@H]1CC[C@@H](CC1)C)(C#N)[C@@H]2CC[C@H](CC2)C,9s 12s 18r 21r,P-93.5.1.2,TH,5,,0,,,1
VS225,C[C@H]1C=2C(=CC=CC2)[C@H](C3=C1C=CC=C3)C,2s 9s,,TH,5,,0,,,1
VS226,C[C@H]1CC[C@@H](CC1)[C@@]2(CC[C@]([C@H]3CC[C@@H](CC3)C)([C@@H]4CC[C@@H](CC4)C)CC2)[C@H]5CC[C@H](CC5)C,2r 5r 8r 11r 12r 15r 19s 22s 28s 31s,,TH,5,,0,,,1
VS227,O=C([C@H]([C@@H]([C@H](C(O)=O)Cl)Cl)Cl)O,3R 4r 5S,P-93.4.1.2,TH,"1a,5",,1,3R 4R 5S,3R 4R 5S,1
VS228,O=C([C@H]([C@H]([C@H](C(O)=O)Cl)Cl)Cl)O,3R 4s 5S,P-93.4.1.2,TH,"1a,5",,1,3R 4S 5S,3R 4S 5S,1
VS229,C/C=C(/[C@H](Cl)C)\[C@H](C)Cl,2e 3e 4R 7S,P-92.6,"CT,TH","1a,5",Figure 11,1,2E 3E 4R 7S,2E 3E 4R 7S,1
VS230,S[C@H]1[C@H](C[C@H](C1)S)S,2R 3S 5r,P-93.5.1.1.1,TH,"1a,5",,1,2R 3S 5r,2R 3S 5r,1
VS231,CC=[C@]=C1CC[C@H](CC1)CC,2p 4p 7s,P-93.5.1.4.2.2,"TH,TH3","1a,5",,0,2E 3E,2E 3E,1
VS232,CC=[C@]=C1CCC(CC1)=[C@]=CC,2m 4m 7m 11m,,TH3,"1a,5",,0,2E 3E 10E 11E,2E 3E 10E 11E,1
VS233,Cl[C@@H]([C@H]([C@H](Cl)N([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@@H](Cl)C)CC[C@@H](O)CCN([C@@H](Cl)[C@@H]([C@H](Cl)C)[C@H](Cl)C)[C@H](Cl)[C@H]([C@@H](Cl)C)[C@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 7R 10S 13S 18r 23S 26R 29R 32R 34r 35S 38R 41S,,TH,"1a,5",,0,2R 3r 4S 6R 7R 10S 13S 18r 22R 23S 26R 29R 32R 34r 35S 38R 41S,2R 3R 4S 6S 7R 9R 10S 13S 18r 22S 23S 25R 26R 29R 32R 34R 35S 38R 41S,0
VS234,O[C@H](C1=C(C=CC=C1)[C@H](O)C)C2=CC=CC=C2[C@@H](O)C,2s 9R 18S,,TH,"1a,5",,1,2s 9R 18S,2s 9R 18S,1
VS235,CN1[C@@H]2C[C@H](C[C@H]1CC2)OC([C@H](CO)C=3C=CC=CC3)=O,3S 5r 7R 12S,P-93.5.2.2.1,TH,"1a,5",,0,2R 3S 5r 7R 12S,2S 3S 5r 7R 12S,0
VS236,C[C@@H]([C@H]([C@@H](C)S)S)S,2S 3r 4R,P-92.6,TH,"1a,5",Figure 11,1,2S 3R 4R,2S 3R 4R,1
VS237,O=[S@](CC)[C@H](O)[S@](CC)=O,2R 5r 7S,,TH,"1a,5",,0,,,1
VS238,C[C@H]1[C@H]2CCC[C@@H]1CC2,2s 3S 7R,,TH,"1a,5",,1,2S 3S 7R,2S 3S 7R,1
VS239,O[C@@H](N([C@@H]([C@@H](Cl)C)Cl)[C@H]([C@@H](Cl)C)Cl)N([C@@H]([C@@H](C)Cl)Cl)[C@H]([C@@H](C)Cl)Cl,2s 4R 5S 9S 10S 15R 16R 20S 21R,P-92.6,TH,"1a,5",,0,2S 3S 4R 5S 9S 10S 14R 15R 16R 20S 21R,2S 3S 4R 5S 9S 10S 14R 15R 16R 20S 21R,1
VS240,C[C@@H]1C\C=C\CC[C@@H](CC\C=C\C1)O,2s 4E 5E 8s 11E 12E,,"CT,TH","1a,5",,0,4Z 5Z 11Z 12Z,4E 5E 11E 12E,0
VS241,O[C@H]1C[C@H]2N[C@@H](C1)CC2,2s 4S 6R,P-93.5.2.2.1,TH,"1a,5",,0,2s 4S 5S 6R,2s 4S 5S 6R,1
VS242,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@@H](Cl)C)CN(C[C@@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)[C@H](O)N(C[C@H]([C@@H](Cl)[C@H](Cl)C)[C@H](Cl)[C@@H](Cl)C)C[C@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C,2R 4R 6r 7S 9S 15s 16S 18R 21R 23S 26R 30s 31R 33R 36S 38S 42r 43S 45R 48R 50S,,TH,"1a,5","Figure 9, Figure 10",0,2S 4S 7S 9S 16S 18S 21S 23S 31S 33S 36S 38S 43S 45S 48S 50S ,,0
VS243,BrC=[C@@]=C([C@H](S)CC)[C@H](CC)S,2m 4m 5R 9S,P-92.6,"TH,TH3","1a,5",,0,2E 3E 4E 5R 9S,2E 3E 4E 5R 9S,1
VS244,C[C@@H]([C@@]([C@@H](C)Cl)(C[C@@H](C)Br)C[C@H](C)Br)Cl,2S 3S 4R 8R 12S,,TH,"1a,5",Figure 11,1,2S 3s 4R 8R 12S,2S 3s 4R 8R 12S,1
