COMPOUND,SMILES,CIP Labels,Blue Book Ref,Stereogenic Units,Sequence Rules,Figure,Different from CIP Labels,Rdkit + Canonize.py,balloon + Canonize.py,
VS245,C(=C(/[C@H](C)Cl)\[C@H](Cl)C)(\[C@H](C)Br)/[C@H](Br)C,1E 2E 3S 6R 9S 12R,,"CT,TH","1a,5",Figure 11,0,1E 2E 3S 6R 9S 12R ,1E 2E 3S 6R 9S 12R ,1
VS246,C/C=C/1\CC[C@H](C)CC1,2z 3z 6R,,"CT,TH","3,5",,0,,,1
VS247,O/N=C/1\CC[C@@H](CC1)C,2z 3z 6R,P-93.5.1.4.2.2,"CT,TH","3,5",,0,,,1
VS248,CCC[C@H]1C/C(/C1)=C/Br,4S 6z 8z,P-93.5.1.4.2.2,"CT,TH","3,5",,0,,,1
VS249,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@@H](Cl)C)[C@H](Br)C[C@@H](O)C[C@H](Br)[C@@H]([C@@H](Cl)[C@@H]([C@H](Cl)C)[C@H](Cl)C)[C@H](Cl)[C@H]([C@@H](Cl)C)[C@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6R 7R 10S 13S 16R 19s 22S 24S 25S 28R 31R 34R 36r 37S 40R 43S,,TH,"1a,4a,5",,0,2R 3R 4S 6S 7R 9R 10S 13S 16R 19s 22S 24S 25S 27S 28R 31R 34R 36R 37S 40R 43S,2R 3r 4S 6S 7R 10S 13S 16R 19s 22S 24S 25S 28R 31R 34R 36r 37S 40R 43S,0
VS250,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@@H](Cl)C)[C@@H](Br)C[C@@H](O)C[C@@H](Br)[C@@H]([C@@H](Cl)[C@@H]([C@H](Cl)C)[C@H](Cl)C)[C@H](Cl)[C@H]([C@@H](Cl)C)[C@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6R 7R 10S 13S 16S 19r 22R 24S 25S 28R 31R 34R 36r 37S 40R 43S,,TH,"1a,4a,5",,0,2R 3r 4S 6S 7R 10S 13S 16S 19r 22R 24S 25S 28R 31R 34R 36r 37S 40R 43S,2R 3r 4S 6S 7R 10S 13S 16S 19r 22R 24S 25S 28R 31R 34R 36r 37S 40R 43S,1
VS251,C[C@H]([C@@H]([C@H](C([C@@H](C)Cl)[C@H](Cl)C)O)[C@H](C)Cl)Cl,2R 3s 4S 6R 9R 13S,P-92.5.1,TH,"1a,4a,5",,0,2R 3s 4r 6R 9R 13S,2R 3S 4r 5S 6R 9R 13S,0
VS252,CO[C@@H]1[C@@H]([C@@H]([C@H]1OC)OC)OC,3S 4s 5R 6r,,TH,"4b,5",,0,,,1
VS253,Cl[C@@H]1[C@@H]([C@@H]([C@H]([C@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2R 3s 4S 5S 6s 7R,"P-93.5.1.1.2, P-93.5.1.3.2",TH,"4b,5",,0,,,1
VS254,Cl[C@H]1[C@@H]([C@H]([C@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2S 3r 4R 5S 6r 7R,P-93.5.1.1.2,TH,"4b,5",,0,,,1
VS255,Cl[C@H]1[C@H]([C@H]([C@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)Cl,2R 3s 4S 5S 6r 7R,P-93.5.1.1.2,TH,"4b,5",,0,,,1
VS256,O1[C@@]2([C@]3([C@]4([C@]25CO5)CO4)CO3)C1,2S 3s 4R 5r,P-93.5.3.2,TH,"4b,5",,0,,,1
VS257,Cl[C@H]([C@@H]1CC[C@H](CC1)C)C,2S 3r 6S,,TH,"1a,4b,5",,0,2S,2S,1
VS258,Cl[C@@H]([C@@H]1CC[C@H](CC1)C)C,2R 3r 6R,,TH,"1a,4b,5",,0,2R,2R,1
VS259,C1[C@H](CCC=C1)[C@H]2CC[C@@H](CC2)/C=N/[C@H]3CC[C@@H](CC3)C4=CC=CC=C4,2S 7r 10S 13E 14E 15r 18S,P-93.5.7.2,"CT,TH","1a,4b,5",,0,2R 5Z 6Z 13E 14E,2R 5Z 6Z 13E 14E,1
VS260,C[C@@H]1CC[C@@H](CC1)[C@@H]2CC[C@@H](C[C@@H]2O)C,2R 5s 8S 11S 13S,P-93.5.7.2,TH,"1a,4b,5",,0,8S 11S 13S,8S 11S 13S,1
VS261,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@@H](Cl)C)C[C@H](C[C@@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)CCC[C@@](CCC[C@H](C[C@H]([C@@H](Cl)[C@H](Cl)C)[C@H](Cl)[C@@H](Cl)C)C[C@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)([C@H](C)Cl)[C@@H](C)Cl,2R 4R 6r 7S 9S 13S 15s 16S 18R 21R 23S 29s 33S 35s 36R 38R 41S 43S 47r 48S 50R 53R 55S 58S 61R,,TH,"1a,4b,5",,0,2R 4R 6R 7S 9S 13s 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 58S 61R,,0
VS262,C[C@@H](Cl)C([C@@H](C)Cl)[C@H](Cl)N(CC[C@H](O)CCN([C@@H](Cl)[C@@H]([C@@H](C)Cl)[C@H](C)Cl)[C@H](Cl)C([C@@H](C)Cl)[C@@H](C)Cl)[C@H](Cl)[C@@H]([C@@H](C)Cl)[C@H](C)Cl,2R 5R 8S 13R 18S 20r 21R 24S 27R 30R 33R 36R 38r 39R 42S,,TH,"1a,4b,5",Figure 8,0,2R 5R 8S 10R 13s 17R 18S 20r 21R 24S 27R 30R 33R 36R 38r 39R 42S,2R 5R 8S 10R 13s 17R 18S 20r 21R 24S 27R 30R 33R 36R 38r 39R 42S,1
VS263,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@@H](Cl)C)C[C@H](C[C@@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)CCC[C@@](CCC[C@H](C[C@H]([C@@H](Cl)[C@H](Cl)C)[C@H](Cl)[C@@H](Cl)C)C[C@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)([C@H](C)Cl)[C@@H](C)Cl,2R 4R 6r 7S 9S 13S 15s 16S 18R 21R 23S 29s 33S 35s 36R 38R 41S 43S 47r 48S 50R 53R 55S 58S 61R,,TH,"1a,4b,5",,0,2R 4R 6R 7S 9S 13s 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 58S 61R,2R 4R 6R 7S 9S 13s 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 58S 61R,1
VS264,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@@H](Cl)C)CN(C[C@@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)CCC[C@@](CCCN(C[C@H]([C@@H](Cl)[C@H](Cl)C)[C@H](Cl)[C@@H](Cl)C)C[C@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)([C@H](C)F)[C@@H](C)F,2R 4R 6r 7S 9S 15s 16S 18R 21R 23S 29s 35s 36R 38R 41S 43S 47r 48S 50R 53R 55S 58S 61R,,TH,"1a,5",,0,2R 4R 6R 7S 9S 13r 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 58S 61R,2R 4R 6R 7S 9S 13r 15S 16S 18R 21R 23S 29s 33s 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 58S 61R,0
VS265,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@@H](Cl)C)C[C@H](C[C@@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)CCC[C@@](CCC[C@H](C[C@H]([C@@H](Cl)[C@H](Cl)C)[C@H](Cl)[C@@H](Cl)C)C[C@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)(CC)[C@@H](C)Cl,2R 4R 6r 7S 9S 13S 15s 16S 18R 21R 23S 29S 33S 35s 36R 38R 41S 43S 47r 48S 50R 53R 55S 60R,,TH,"1a,4b,5",,0,2R 4R 6R 7S 9S 13s 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 60R,,0
VS266,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@@H](Cl)C)CN(C[C@@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)CCC[C@@](CCCN(C[C@H]([C@@H](Cl)[C@H](Cl)C)[C@H](Cl)[C@@H](Cl)C)C[C@H]([C@H](Cl)[C@H](Cl)C)[C@@H](Cl)[C@@H](Cl)C)(CC)[C@@H](C)F,2R 4R 6r 7S 9S 15s 16S 18R 21R 23S 29S 35s 36R 38R 41S 43S 47r 48S 50R 53R 55S 60R,,TH,"1a,5",,0,2R 4R 6R 7S 9S 13s 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 60R,2R 4R 6R 7S 9S 13s 15S 16S 18R 21R 23S 29s 33r 35S 36R 38R 41S 43S 47R 48S 50R 53R 55S 60R,1
VS267,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@H](C)Cl)CN(CC[C@@](CCN(C[C@@H]([C@@H](Cl)[C@H](C)Cl)[C@H](Cl)[C@@H](C)Cl)C[C@@H]([C@H](Cl)[C@H](C)Cl)[C@@H](Cl)[C@@H](C)Cl)([C@H](F)C)[C@H](C)F)C[C@H]([C@@H](Cl)[C@H](C)Cl)[C@H](Cl)[C@@H](C)Cl,2R 4R 6r 7S 9S 16r 21r 22R 24S 27S 29R 33s 34S 36S 39R 41R 44R 47S 51s 52R 54S 57S 59R,,TH,"1a,5",,0,2R 4R 6R 7S 9S 13r 16r 19s 21R 22R 24S 27S 29R 33S 34S 36S 39R 41R 44R 47S 51S 52R 54S 57S 59R,2R 4R 6R 7S 9S 13r 16r 19r 21R 22R 24S 27S 29R 33S 34S 36S 39R 41R 44R 47S 51S 52R 54S 57S 59R,0
VS268,C[C@@H](Cl)[C@H](Cl)[C@@H]([C@H](Cl)[C@H](C)Cl)C[C@@H](CC[C@@](CC[C@H](C[C@@H]([C@@H](Cl)[C@H](C)Cl)[C@H](Cl)[C@@H](C)Cl)C[C@@H]([C@H](Cl)[C@H](C)Cl)[C@@H](Cl)[C@@H](C)Cl)([C@H](F)C)[C@H](C)F)C[C@H]([C@@H](Cl)[C@H](C)Cl)[C@H](Cl)[C@@H](C)Cl,2R 4R 6r 7S 9S 13S 16S 19R 21r 22R 24S 27S 29R 33s 34S 36S 39R 41R 44R 47S 51s 52R 54S 57S 59R,,TH,"1a,4b,5",,0,2R 4R 6R 7S 9S 13s 16r 19s 21R 22R 24S 27S 29R 33S 34S 36S 39R 41R 44R 47S 51S 52R 54S 57S 59R,,0
VS269,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@@H](Cl)C)[C@H](Br)C[C@@H](O)C[C@@H](Br)[C@@H]([C@@H](Cl)[C@@H]([C@H](Cl)C)[C@H](Cl)C)[C@H](Cl)[C@H]([C@@H](Cl)C)[C@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6R 7R 10S 13S 16R 19S 22R 24S 25S 28R 31R 34R 36r 37S 40R 43S,,TH,"1a,4a,4b,5",,0,2R 3R 4S 6S 7R 9R 10S 13S 16R 19r 22R 24S 25S 27S 28R 31R 34R 36R 37S 40R 43S,,0
VS270,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@@H](Cl)C)[C@@H](Br)C[C@@H](O)C[C@H](Br)[C@@H]([C@@H](Cl)[C@@H]([C@H](Cl)C)[C@H](Cl)C)[C@H](Cl)[C@H]([C@@H](Cl)C)[C@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6R 7R 10S 13S 16S 19R 22S 24S 25S 28R 31R 34R 36r 37S 40R 43S,,TH,"1a,4a,4b,5",,0,2R 3R 4S 6S 7R 9R 10S 13S 16S 19r 22S 24S 25S 27R 28R 31R 34R 36R 37S 40R 43S,2R 3R 4S 6S 7R 9R 10S 13S 16S 19r 22S 24S 25S 27R 28R 31R 34R 36R 37S 40R 43S,1
VS271,C[C@@H]([C@@H]([C@H]([C@@H]([C@H]([C@@H]([C@H](C)O)O)[C@H]([C@H](C)O)O)C)[C@@H]([C@H](O)C)O)O)O,2S 3R 4r 5S 6S 7S 8S 12R 13S 18S 19R,,TH,"1a,4a,4b,5",,0,2S 3R 4R 5r 6R 7S 8S 12R 13S 18S 19R,2S 3R 4R 5r 6R 7S 8S 12R 13S 18S 19R,1
VS272,C[C@H]([C@H]([C@H](\C(=C/1\[C@H](Br)/C(=C(\[C@@H]([C@@H]([C@H](C)Cl)[C@H](C)Cl)Cl)/[C@@H](Cl)[C@@H]([C@H](C)Cl)[C@@H](C)Cl)/[C@@H]1Br)\[C@@H](Cl)[C@@H]([C@H](C)Cl)[C@H](C)Cl)Cl)[C@H](C)Cl)Cl,2R 3r 4R 5Z 6Z 7R 9Z 10Z 11R 13S 16S 20S 22s 23S 26R 29R 31S 34S 37S 41S,,"CT,TH","1a,4a,4b,5",,0,2R 3R 4S 5Z 6Z 7r 9E 10E 11S 12S 13S 16S 20R 22S 23S 26R 29s 31R 33R 34S 37S 41S,2R 3r 4S 5E 6E 7s 9Z 10Z 11S 13S 16S 20R 22s 23S 26R 29r 31R 34S 37S 41S,0
VS273,C[C@H]([C@H]([C@@]([C@@H]([C@@]([C@@H]([C@H](C)Cl)[C@@H](Cl)C)([C@H]([C@H](C)Cl)[C@@H](C)Cl)[C@@H]([C@H](C)Cl)[C@@H](C)Cl)O)([C@H]([C@H](C)Cl)[C@H](C)Cl)[C@@H]([C@@H](Cl)C)[C@@H](C)Cl)[C@H](C)Cl)Cl,2R 3r 4R 6R 8S 11S 14r 15S 18R 21s 22S 25R 30S 33S 36s 37S 40R 43S,,TH,"1a,4c,5",,0,2S 8S 11S 15S 18S 22S 25S 30S 33S 37S 40S 43S,,0
VS274,C[C@H]([C@H]([C@@]([C@@H]([C@@]([C@@H]([C@H](C)Cl)[C@@H](C)Cl)([C@H]([C@@H](C)Cl)[C@@H](C)Cl)[C@@H]([C@@H](C)Cl)[C@H](C)Cl)O)([C@H]([C@@H](C)Cl)[C@H](C)Cl)[C@@H]([C@H](C)Cl)[C@H](C)Cl)[C@@H](Cl)C)Cl,2R 3r 4S 5s 6R 7s 8S 11R 15R 18R 21r 22R 25S 29s 30R 33S 37S 40S 43S,,TH,"1a,4c,5",,0,2S 8S 11S 15S 18S 22S 25S 30S 33S 37S 40S 43S,,0
VS275,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@H](Cl)C)[C@@H](Cl)C)[C@H](Br)C[C@@H](O)C[C@@H](Br)[C@H]([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@H](Cl)C)[C@@H](Cl)[C@H]([C@H](Cl)C)[C@@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6s 7R 9r 10R 13S 16R 19S 22R 24s 25R 27s 28S 31R 34S 36s 37R 40S 43S,,TH,"1a,4c,5",,1,2R 3R 4S 6S 7R 9R 10R 13S 16R 19s 22R 24S 25R 27S 28S 31R 34S 36S 37R 40S 43S,2R 3R 4S 6S 7R 9R 10R 13S 16R 19s 22R 24S 25R 27S 28S 31R 34S 36S 37R 40S 43S,1
VS276,C[C@H]([C@@H]([C@H]([C@@H]([C@@H](C)Cl)[C@@H](Cl)C)O)[C@H](C)Cl)Cl,2R 3s 4R 5r 6R 9S 13S,P-92.5.3,TH,"1a,4c,5",,1,2R 3S 4R 5R 6R 9S 13S,2R 3S 4R 5R 6R 9S 13S,1
VS277,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@@H](Cl)C)[C@@H](Cl)C)[C@@H](Br)C[C@@H](O)C[C@@H](Br)[C@@H]([C@@H](Cl)[C@@H]([C@H](Cl)C)[C@H](Cl)C)[C@H](Cl)[C@H]([C@H](Cl)C)[C@@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6R 7R 10S 13S 16S 19S 22R 24S 25S 28R 31R 34R 36s 37R 40S 43S,,TH,"1a,4a,4c,5",,0,2R 3R 4S 6S 7R 9R 10S 13S 16S 19r 22R 24S 25S 27S 28R 31R 34R 36S 37R 40S 43S,,0
VS278,Cl[C@@H]([C@H]([C@H](Cl)[C@@H]([C@H](Cl)[C@@H]([C@H](Cl)C)[C@@H](Cl)C)[C@H](Br)C[C@@H](O)C[C@@H](Br)[C@H]([C@H](Cl)[C@@H]([C@H](Cl)C)[C@@H](Cl)C)[C@@H](Cl)[C@H]([C@H](Cl)C)[C@@H](Cl)C)[C@@H](Cl)C)C,2R 3r 4S 6s 7R 9r 10R 13S 16R 19R 22R 24S 25R 27r 28R 31S 34S 36s 37R 40S 43S,,TH,"1a,4a,4c,5",,0,2R 3R 4S 6S 7R 9R 10R 13S 16R 19s 22R 24S 25R 27R 28R 31S 34S 36S 37R 40S 43S,2R 3R 4S 6S 7R 9R 10R 13S 16R 19s 22R 24S 25R 27R 28R 31S 34S 36S 37R 40S 43S,1
VS279,O[C@@H](C[C@H]1CC[C@@H](CC1)C)C[C@@H]2CC[C@@H](CC2)C,2R 4r 7S 12s 15S,P-93.6,TH,"4b,4c,5",Figure 1,0,,,1
VS280,C1C[C@]23CCC[C@@]24CCC[C@@]45CCC[C@@]56CCC[C@]36C1,3R 7R 11R 15R 19R,,TH,6,,0,,,1
VS281,C1=C2[C@@]34C(=C1)CCCCC3=CC=C4CCCC2,3S,,TH,6,"Figure 12, Figure 13",0,1Z 2Z 4Z 5Z 10Z 11Z 12Z 13Z,1Z 2Z 4Z 5Z 10Z 11Z 12Z 13Z,1
VS282,C1=C2[C@]34C(=C1)CCCCC3=CC=C4CCCC2,3R,,TH,6,,0,1Z 2Z 4Z 5Z 10Z 11Z 12Z 13Z,1Z 2Z 4Z 5Z 10Z 11Z 12Z 13Z,1
VS283,C1=C2[C@@H]3C(CCC=C3CC1)=CCC2,3S,,TH,6,Figure 12,0,1Z 2Z 4Z 7Z 8Z 11Z ,1Z 2Z 4Z 7Z 8Z 11Z ,1
VS284,C1=C2[C@H]3C(CCC=C3CC1)=CCC2,3R,,TH,6,,0,1Z 2Z 4Z 7Z 8Z 11Z ,1Z 2Z 4Z 7Z 8Z 11Z ,1
VS285,O=C1[C@]2(NCC1)C(CCN2)=O,3R,P-93.5.3.2,TH,6,"Figure 12, Figure 13",0,4R 10R,3r 4R 10S,0
VS286,C1[C@@]2(CC[C@]13CCCC3)C[C@@]4(CC2)CCCC4,2S,P-93.5.3.2,TH,6,,0,,,1
VS287,[C@]=1=C2CCCCCCC1CCCCCC2,2M 9M,,TH3,6,,0,,,1
VS288,O=C1[C@@]2(CCCC2=O)CCC1,3S,P-93.5.3.2,TH,6,,0,,,1
VS289,C1=C2[C@@H]3C(C1)=CCC3=CC2,3R,,TH,6,,0,1Z 2Z 4Z 6Z 8Z 9Z,1Z 2Z 4Z 6Z 8Z 9Z,1
VS290,C1=C2[C@H]3C(C1)=CCC3=CC2,3S,,TH,6,,0,1Z 2Z 4Z 6Z 8Z 9Z,1Z 2Z 4Z 6Z 8Z 9Z,1
VS291,C1[C@@]2(OCC1)OCCC2,2R,P-93.5.3.2,TH,6,,0,,,1
VS292,C1=C2[C@@]34C(=C1)CCC3=CC=C4CC2,3S,,TH,6,,0,1Z 2Z 4Z 5Z 8Z 9Z 10Z 11Z,1Z 2Z 4Z 5Z 8Z 9Z 10Z 11Z,1
VS293,C\1C/C/2=C/CC/C/3=C/CC/C(=C1)/C[C@@H](C2)C3,3Z 4Z 7Z 8Z 11Z 12Z 14S,,"CT,TH","1a,6",,0,3Z 4Z 7Z 8Z 11Z 12Z,3Z 4Z 7Z 8Z 11Z 12Z,1
VS294,O[C@H]1O[C@@]2(O[C@H]1O)O[C@H]([C@H](O2)O)O,2S 4R 6R 9R 10S,,TH,"1a,6",,0,2S 6R 9R 10S,2S 6R 9R 10S,1
VS295,O[C@H]1O[C@@]2(O[C@H]1O)O[C@@H]([C@@H](O2)O)O,2S 4S 6R 9S 10R,,TH,"1a,6",,0,2S 6R 9S 10R,2S 6R 9S 10R,1
VS296,C1[C@@]2(OCCC1)CC[C@]3(CC2)CC[C@@]4(CC3)OCCCC4,2S 9S 14S,,TH,"4c,6",,0,,,1
VS297,C1[C@@]2(CC[C@]3(C1)OCCC3)CC[C@@]4(CC2)CCCO4,2R 5S 13S,P-93 5.3.5,TH,"4c,6",,0,,,1
VS298,Cl[C@H]1C[C@]2(C1)C[C@H](C2)Cl,2R 4S 7R,P-93 5.3.5,TH,"4c,6",,0,,,1
VS299,C\C=C/1\C[C@]2(C\C(\C2)=C\C)C1,2z 3z 5S 7z 9z,,"CT,TH","5,6",,0,,,1
VS300,O[C@H](C[C@@]12C=3CCC=C2CCC=C1CCC3)C[C@]45C=6CCC=C5CCC=C4CCC6,2s 4R 18S,,TH,"5,6",,0,5Z 8Z 9Z 12Z 13Z 16Z 19Z 22Z 23Z 26Z 27Z 30Z,5Z 8Z 9Z 12Z 13Z 16Z 19Z 22Z 23Z 26Z 27Z 30Z,1
